ticker,name,sector,industry,price_usd,change_pct,pe_ratio,div_yield_pct,mkt_cap_usd,52w_high,52w_low,52w_position,analyst_rating,beta,revenue_bn,profit_margin,price_to_book,debt_to_equity,roe_pct,earnings_growth
APA,APAoration,Energy,Oil & Gas E&P,42.37,1.89,8.8,240.0,14842642432,45.66,19.96,87.2,Hold,0.35,8.6,19.6,2.12,48.85,26.66,26.3
AAPL,Apple,Technology,Consumer Electronics,310.03,1.45,35.1,35.0,4524633751552,344.57,223.78,71.4,Buy,1.09,466.8,27.6,42.12,78.44,148.75,28.7
AMAT,"Applied Materials,",Technology,Semiconductor Equipment & Materials,514.33,-3.92,46.1,40.0,408357175296,739.67,154.47,61.5,Buy,1.62,30.8,30.1,15.94,25.54,41.07,42.8
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,48.6,-2.88,22.6,0.0,10284756992,88.93,46.16,5.7,Buy,1.36,20.5,1.1,1.16,64.94,5.16,-35.3
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,98.91,1.12,7.6,0.0,33728311296,107.09,82.45,66.8,Buy,0.29,19.2,24.4,1.45,17.84,19.94,-7.1
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,82.45,1.43,22.2,256.0,39737311232,88.46,55.58,81.7,Hold,0.61,82.1,2.2,1.69,39.13,7.64,315.6
ANET,"Arista Networks,",Technology,Computer Hardware,193.18,-4.27,63.8,0.0,243643383808,214.89,114.52,78.4,Buy,1.61,10.5,38.4,16.46,,31.48,35.7
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,248.36,0.16,41.1,113.0,63664848896,313.55,190.75,46.9,Buy,0.5,15.1,10.4,2.68,59.4,6.72,-10.7
AIZ,"Assurant,",Financial Services,Insurance - Property & Casualty,280.07,-0.37,13.5,125.0,13814108160,303.94,205.01,75.9,Buy,0.54,13.5,7.9,2.27,36.21,18.34,30.5
T,AT&T,Communication Services,Telecom Services,24.9,0.89,8.1,450.0,170624401408,29.79,19.89,50.6,Buy,0.42,127.2,16.9,1.55,129.05,18.34,6.2
ATO,Atmos Energyoration,Utilities,Utilities - Regulated Gas,170.51,0.36,20.3,235.0,28814237696,192.51,160.1,32.1,Hold,0.6,4.9,28.5,1.89,67.66,9.79,23.3
ADSK,"Autodesk,",Technology,Software - Application,246.79,2.13,35.4,0.0,52108533760,329.09,185.5,42.7,Buy,1.3,7.5,19.5,16.33,85.42,50.4,231.4
ADP,"Automatic Data Processing,",Technology,Software - Application,269.31,1.22,24.3,256.0,106986831872,310.08,188.16,66.6,Hold,0.82,21.9,20.1,17.76,91.44,72.24,9.8
AZO,"AutoZone,",Consumer Cyclical,Auto Parts,3073.2,1.79,21.1,0.0,50171080704,4388.11,2902.2,11.5,Buy,0.34,20.0,12.4,,,,7.7
AVB,"AvalonBay Communities,",Real Estate,REIT - Residential,184.06,0.0,25.2,387.0,26283393024,198.63,160.1,62.2,Hold,0.77,3.1,33.3,2.17,75.13,8.49,-41.3
AVY,Avery Dennisonoration,Consumer Cyclical,Packaging & Containers,177.71,0.62,19.3,226.0,13593106432,199.54,152.42,53.7,Buy,0.81,9.2,7.6,5.81,158.65,31.16,10.8
AXON,"Axon Enterprise,",Industrials,Aerospace & Defense,619.85,2.57,249.9,0.0,50355011584,794.29,339.01,61.7,Buy,1.4,3.2,6.2,13.7,50.36,6.22,-18.2
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,64.44,-0.71,20.9,142.0,63967916032,70.41,42.56,78.6,Buy,0.96,27.7,11.2,3.21,80.92,16.46,-4.2
BALL,Balloration,Consumer Cyclical,Packaging & Containers,61.67,0.8,17.5,131.0,16419422208,68.29,44.83,71.8,Buy,0.96,14.3,6.6,2.84,131.5,17.15,9.2
BAC,Bank of Americaoration,Financial Services,Banks - Diversified,64.23,0.53,14.8,200.0,449144258560,65.23,46.12,94.8,Buy,1.17,113.9,29.5,1.63,,11.2,34.1
BK,BK,Other,,0.0,0.0,,0.0,0,,,,N/A,,,0.0,,,,0.0
BBWI,"Bath & Body Works,",Consumer Cyclical,Specialty Retail,20.04,6.54,5.3,425.0,4039298816,32.32,14.28,31.9,N/A,1.38,7.2,10.0,,,,83.7
BAX,Baxter International,Healthcare,Medical Instruments & Supplies,25.94,0.12,12.7,15.0,13410876416,30.0,15.73,71.5,Hold,0.59,11.5,-9.3,2.16,156.45,-14.37,36.8
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,180.77,-0.72,31.5,231.0,49239367680,187.35,127.58648,89.0,Buy,0.26,22.5,4.2,2.02,68.84,6.61,-31.4
WRB,W.R. Berkleyoration,Financial Services,Insurance - Property & Casualty,70.17,0.6,14.3,57.0,26049034240,78.96,62.87,45.4,Hold,0.29,14.9,12.9,2.81,31.53,20.21,15.0
BBY,"Best Buy Co.,",Consumer Cyclical,Specialty Retail,87.27,2.14,15.8,449.0,18393645056,91.27,55.1,88.9,Hold,1.32,41.9,2.7,5.96,134.09,39.1,37.9
BIO,"Bio-Rad Laboratories,",Healthcare,Medical Devices,352.69,-0.72,43.3,0.0,9438547968,365.0,236.73,90.4,Hold,1.05,2.6,8.6,1.31,19.1,3.11,18.7
TECH,Bio-Techne,Healthcare,Biotechnology,72.22,-0.23,62.3,44.0,11252645888,72.62,43.2,98.6,Hold,1.28,1.2,15.0,5.42,13.71,9.03,1.3
BIIB,Biogen,Healthcare,Drug Manufacturers - General,212.55,1.63,37.2,0.0,31405113344,219.72,131.52,91.9,Buy,0.16,10.0,8.3,1.67,44.33,4.58,-84.8
BLK,"BlackRock,",Financial Services,Asset Management,1154.35,0.63,27.5,200.0,187554381824,1219.94,917.39,78.3,Buy,1.43,27.3,24.1,3.11,23.19,12.28,19.6
BX,Blackstone,Financial Services,Asset Management,140.59,0.01,31.5,372.0,168046919680,190.09,101.73,44.0,Buy,1.55,15.5,22.7,12.48,68.19,31.37,57.3
BA,Boeing Company (The),Industrials,Aerospace & Defense,223.06,-1.28,81.4,0.0,176171122688,254.35,176.77,59.7,Buy,1.22,94.0,2.6,28.91,790.88,173.54,8.0
BCH,Banco De Chile,Financial Services,Banks - Regional,41.09,0.0,15.7,532.0,20753958912,46.77,28.26,69.3,Hold,0.07,,45.4,0.73,,21.58,28.6
BKNG,Booking Holdings Common St,Consumer Cyclical,Travel Services,208.25,1.7,22.7,82.0,161368440832,231.8,150.14,71.2,Buy,1.07,28.2,25.5,,,,130.0
BWA,BorgWarner,Consumer Cyclical,Auto Parts,67.95,-2.79,34.5,97.0,13839127552,78.82,40.5,71.6,Buy,1.11,14.3,2.9,2.46,70.11,8.06,30.1
BSX,Boston Scientificoration,Healthcare,Medical Devices,50.47,-1.87,20.9,0.0,73142616064,109.5,42.2,12.3,Buy,0.57,21.0,17.5,2.93,50.15,15.34,15.1
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,66.05,2.2,14.2,390.0,134921306112,68.1,42.52,92.0,Buy,0.23,49.2,18.9,6.05,201.86,46.6,153.1
AVGO,Broadcom,Technology,Semiconductors,380.0,-3.17,65.4,66.0,1807880552448,495.0,281.87,46.0,Buy,1.47,75.5,38.8,20.62,74.02,37.28,85.4
BR,"Broadridge Financial Solutions,",Technology,Information Technology Services,169.86,1.2,17.5,260.0,19645718528,265.37,133.83,27.4,Buy,0.89,7.5,15.0,6.97,123.94,40.92,8.4
